area,feeder,PEANO
N1,NIA06,21470605
N1,NIA06,6000845288
N1,NIA06,19063520
N1,NIA06,23891738
N1,NIA06,20991207
N1,NIA06,20470648
N1,NIA06,16675835
N1,NIA06,23374441
N1,NIA06,26321916
N1,NIA06,29079947
N1,NIA06,20890574
N1,NIA06,19143337
N1,NIA06,21345683
N1,NIA06,5900042293
N1,NIA06,21346418
N1,NIA06,5600060674
N1,NIA06,21345771
N1,NIA06,26862876
N1,NIA06,21745546
N1,NIA06,29071288
N1,NIA06,28051013
N1,NIA06,25785921
N1,NIA06,6100545762
N1,NIA06,5900042300
N1,NIA06,21346433
N1,NIA06,19009881
N1,NIA06,5901006122
N1,NIA06,20642300
N1,NIA06,23694721
N1,NIA06,16638673
N1,NIA06,24260986
N1,NIA06,25180516
N1,NIA06,6000845287
N1,NIA06,20369374
N1,NIA06,20442907
N1,NIA06,27817030
N1,NIA06,5900708525
N1,NIA06,24037511
N1,NIA06,27391999
N1,NIA06,22268218
N1,NIA06,20470654
N1,NIA06,16926286
N1,NIA06,5801495627
N1,NIA06,26622838
N1,NIA06,20192715
N1,NIA06,23147869
N1,NIA06,20218921
N1,NIA06,27392078
N1,NIA06,18588622
N1,NIA06,29038046
N1,NIA06,5800640291
N1,NIA06,21378932
N1,NIA06,22007421
N1,NIA06,20642181
N1,NIA06,16579750
N1,NIA06,25178072
N1,NIA06,24749129
N1,NIA06,19009987
N1,NIA06,16606243
N1,NIA06,17852433
N1,NIA06,6000025298
N1,NIA06,5701450847
N1,NIA06,29813009
N1,NIA06,25785923
N1,NIA06,25786362
N1,NIA06,21014678
N1,NIA06,5900904108
N1,NIA06,5900393062
N1,NIA06,23270187
N1,NIA06,26826114
N1,NIA06,6100000078
N1,NIA06,18730151
N1,NIA06,5801495564
N1,NIA06,21795874
N1,NIA06,6001460603
N1,NIA06,23815879
N1,NIA06,5600060520
N1,NIA06,20993035
N1,NIA06,5800337382
N1,NIA06,29079997
N1,NIA06,5801355343
N1,NIA06,6001353605
N1,NIA06,6100545764
N1,NIA06,6001460615
N1,NIA06,27883885
N1,NIA06,5600060609
N1,NIA06,20470656
N1,NIA06,14606262
N1,NIA06,25178079
N1,NIA06,22389097
N1,NIA06,20218928
N1,NIA06,5801495655
N1,NIA06,20117600
N1,NIA06,20291754
N1,NIA06,24178982
N1,NIA06,18432157
N1,NIA06,16638668
N1,NIA06,5801101192
N1,NIA06,29812946
N1,NIA06,30267296
N1,NIA06,23998842
N1,NIA06,6001353556
N1,NIA06,24353102
N1,NIA06,5600060658
N1,NIA06,27058061
N1,NIA06,23815877
N1,NIA06,19401478
N1,NIA06,24519429
N1,NIA06,18432255
N1,NIA06,5600060610
N1,NIA06,5801101184
N1,NIA06,30263020
N1,NIA06,29812780
N1,NIA06,5900369389
N1,NIA06,28628215
N1,NIA06,17852414
N1,NIA06,5701450918
N1,NIA06,5800256818
N1,NIA06,24260903
N1,NIA06,5701286764
N1,NIA06,6001460602
N1,NIA06,25757462
N1,NIA06,29815368
N1,NIA06,21745644
N1,NIA06,23981228
N1,NIA06,6100180319
N1,NIA06,5800262856
N1,NIA06,23716999
N1,NIA06,25789785
N1,NIA06,25167530
N1,NIA06,27621143
N1,NIA06,22389098
N1,NIA06,6001460156
N1,NIA06,30448374
N1,NIA06,17456584
